Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
raisedadead,PR 68923,98,0,0,1,1,2,https://github.com/freeCodeCamp/freeCodeCamp/pull/68923
raisedadead,PR 68894,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68894
raisedadead,PR 68825,529,0,2,0,1,3,https://github.com/freeCodeCamp/freeCodeCamp/pull/68825
raisedadead,PR 67687,137,137,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67687
