Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
ojeytonwilliams,PR 66869,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66869
ojeytonwilliams,PR 66626,0,0,1,0,0,1,https://github.com/freeCodeCamp/freeCodeCamp/pull/66626
ojeytonwilliams,PR 66135,525,525,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66135
ojeytonwilliams,PR 65974,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65974
ojeytonwilliams,PR 65962,7,7,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65962
ojeytonwilliams,PR 65960,29,29,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65960
