Reviewed For different PR Authors,Total PRs Reviewed by majestic-owl448 since 2026-02-01,Total Code Review Comments,Total PR Issue Comments,Total PR Review Comments,Total All Comments Made,PR# List
AdityaSingh-18,51,36,6,37,79,"[65767, 65770, 65801, 65853, 65888, 65965, 65986, 66001, 66030, 66032, 66059, 66097, 66103, 66106, 66126, 66147, 66161, 66282, 66327, 66403, 66420, 66510, 67768, 67780, 67793, 67795, 67796, 67797, 67801, 67802, 67862, 67945, 67946, 67970, 67971, 67991, 67992, 68022, 68112, 68113, 68213, 68215, 68340, 68447, 68448, 68519, 68538, 68560, 68790, 68796, 68925]"
ayush-04jha,1,0,0,0,0,[68914]
AK47Kavan,1,0,0,0,0,[68913]
enlorik,1,0,0,0,0,[68912]
xusnitdinov,1,0,0,0,0,[68911]
neetcodeprogress-lang,2,0,0,0,0,"[68729, 68900]"
duna-akin,1,0,0,0,0,[68896]
Gaurav-7065,1,0,0,0,0,[68888]
YYuan02,3,2,3,1,6,"[68789, 68821, 68887]"
SanthoshBalagur,6,7,1,10,18,"[68563, 68618, 68741, 68792, 68828, 68885]"
TechGenius-Karan,2,5,0,6,11,"[68203, 68866]"
superezzdev,1,0,1,0,1,[68853]
yashvi-jain,2,0,0,0,0,"[68552, 68841]"
ayussh-2,1,0,1,0,1,[68840]
Anwiii,1,0,0,0,0,[68839]
coyaSONG,1,0,0,0,0,[68829]
timovibes,1,0,0,0,0,[68827]
anoopraj-dev,1,0,0,0,0,[68824]
yehiahesham2938,1,0,0,1,1,[68820]
kanan010506,3,8,4,6,18,"[67988, 68024, 68808]"
vijaykiran06,3,3,5,4,12,"[68667, 68799, 68807]"
RakshitKaintura,1,0,0,0,0,[68798]
abyss-ux,1,0,0,0,0,[68791]
Jatinmor89,1,0,1,0,1,[68781]
chauhan-varun,1,2,0,3,5,[68750]
arunkumar0398,6,3,2,9,14,"[66940, 67869, 68359, 68485, 68626, 68737]"
Sushanth012,1,0,0,0,0,[68730]
kamran1711,1,2,0,1,3,[68654]
Jatin-saini-developer,1,0,0,0,0,[68651]
pmanthan009,1,0,0,0,0,[68628]
harshlm15,3,18,1,13,32,"[67709, 67805, 68625]"
shivangiii18,1,0,0,0,0,[68612]
runxii,1,0,0,0,0,[68611]
snehaaa-16,1,0,0,0,0,[68607]
Akanshagore,1,0,0,0,0,[68592]
ronits2407,1,0,0,0,0,[68591]
bibashmanjusubedi,1,0,0,0,0,[68589]
ruhaanpathan,1,0,0,0,0,[68588]
DanielRosa74,2,0,0,0,0,"[67452, 68586]"
AlyssaSuri,1,0,0,0,0,[68578]
itsabhay1,1,0,1,0,1,[68548]
ankush2311025,1,0,0,0,0,[68542]
Ayush28051,1,0,0,0,0,[68537]
clarencepenz,1,0,0,0,0,[68536]
lahoylaa,1,0,0,0,0,[68533]
Ayan-Bain,2,0,0,1,1,"[68229, 68531]"
virendra9768,1,0,0,0,0,[68528]
ManyaB2005,1,0,0,0,0,[68516]
gideon-tech,1,0,0,0,0,[68507]
suchismitab0511,1,0,0,0,0,[68502]
rajv2er,1,0,0,0,0,[68498]
Joharika11,1,0,0,0,0,[68475]
EduardF1,1,0,0,0,0,[68473]
timothysmithdev,1,0,1,0,1,[68461]
TheForgottenJudge,1,0,1,0,1,[68458]
ashwiniwakchaure7777,1,0,0,1,1,[68451]
Chamith-Dilshan,1,0,0,0,0,[68450]
yuting1008,1,0,0,0,0,[68442]
k-anushka14,1,0,0,0,0,[68419]
yash5749,1,0,0,0,0,[68415]
thePranav-kpk,2,0,1,0,1,"[68392, 68412]"
lMedeirosl,1,0,1,0,1,[68377]
Kapilkrishnayadav,1,0,0,0,0,[68346]
yzakmuz,1,0,0,0,0,[68336]
menika01012006,1,0,0,0,0,[68326]
Ayush2029,1,0,1,0,1,[68325]
Siddhant21007,1,0,0,0,0,[68320]
xNickRivera,1,0,0,0,0,[68319]
Yaswanthram-396,1,1,0,1,2,[68317]
vasslucas,1,0,0,0,0,[68314]
Udhaya-kumar-N,1,0,0,0,0,[68311]
Sudarshan180392,1,0,0,0,0,[68305]
mika943,1,0,0,0,0,[68300]
Psst02,1,0,0,0,0,[68299]
naresh-coder123,1,0,1,0,1,[68283]
aksantimyakaroland,1,0,0,1,1,[68273]
Budatichethana,1,0,0,0,0,[68270]
ayyagarisujanreddy123,1,0,0,0,0,[68253]
royalknight71,1,0,0,0,0,[68248]
NidhiPednekar,1,0,0,0,0,[68246]
PricedTuna,1,0,0,0,0,[68225]
Eghani,1,0,0,0,0,[68224]
AlistairHeus,1,0,0,0,0,[68220]
omarhossdev,1,0,0,0,0,[68207]
TScom-dew,1,0,0,0,0,[68192]
rixyll,1,0,1,0,1,[68186]
RandomPerson208,1,0,1,0,1,[68184]
Shush-6,1,0,1,0,1,[68182]
asura-king-sys,1,2,0,1,3,[68174]
karthi1048,1,0,0,0,0,[68173]
AsthaChoudhury,1,0,0,0,0,[68166]
jayasimha-reddy-code,1,0,0,0,0,[68151]
Soubhagya003,1,0,0,0,0,[68143]
Lonny154,1,1,0,1,2,[68141]
Atulya-Juyal,1,0,0,0,0,[68136]
Pranav-0018,1,0,0,0,0,[68133]
umang-jpg,1,0,0,0,0,[68105]
itsmdshahin,1,0,0,0,0,[68094]
vrbaghel,1,0,0,0,0,[68089]
amaad31,1,0,0,0,0,[68088]
ferdefalco,1,0,0,0,0,[68074]
Dhananjay0376,1,0,0,0,0,[68060]
Javedshah11,1,0,0,0,0,[68058]
tejasz29,1,1,0,1,2,[68044]
gustavopurkoot,1,0,0,0,0,[68034]
DogAwesome21,1,0,0,0,0,[68025]
Mayank777-hub,1,1,0,1,2,[68006]
oLucasJard,1,2,0,1,3,[67997]
divyaanshupal,1,0,0,1,1,[67989]
bikeshgyawali,1,0,1,0,1,[67981]
Vanishagupta18,1,1,1,3,5,[67973]
Adarsh-N-Mogaveera,1,0,1,0,1,[67972]
mariamanbar,1,0,1,0,1,[67968]
moT01,4,54,0,14,68,"[65864, 66191, 67749, 67961]"
dragon-slayer27,3,2,0,2,4,"[67832, 67861, 67960]"
Anurag-Mishra2006,3,1,1,3,5,"[67774, 67813, 67935]"
Mudassir55,1,0,0,0,0,[67915]
lissy93,1,0,3,0,3,[67911]
flopez0294,1,0,0,0,0,[67910]
omarkurtovic,1,0,0,0,0,[67905]
ezforhamza,1,0,0,0,0,[67902]
kmohan12-code,1,0,0,0,0,[67892]
mahimathacker,1,0,0,0,0,[67889]
kavyabhand,1,2,0,3,5,[67879]
debojeetmitra,1,1,0,1,2,[67864]
Medo-ID,1,1,1,1,3,[67859]
Kd1880,2,1,2,2,5,"[67783, 67854]"
jimjoice2804,2,2,0,2,4,"[67779, 67828]"
andiedoescode,1,4,0,3,7,[67799]
nico457,1,1,0,4,5,[67794]
rustom-yadav,1,4,0,4,8,[67782]
Ahmed-Aashour,1,0,0,0,0,[67778]
Venkat-Entropik,5,6,0,6,12,"[66247, 66934, 67019, 67724, 67776]"
TJForrest,1,1,0,1,2,[67761]
BilgeGates,2,0,3,1,4,"[67609, 67753]"
meaqua9420,1,0,0,0,0,[67734]
Sidak-321,1,0,0,0,0,[67733]
Akshatshukla-25,2,0,0,0,0,"[67708, 67731]"
Laurence165,1,0,0,0,0,[67710]
Aman-Hegde,1,3,1,2,6,[67700]
Mitraaxx,1,1,1,1,3,[67685]
anup48045,1,0,0,0,0,[67679]
