Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
jdwilkin4,PR 69282,300,300,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/69282
jdwilkin4,PR 69281,360,360,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/69281
jdwilkin4,PR 67340,71,71,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67340
jdwilkin4,PR 67188,1800,1800,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67188
