Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
ojeytonwilliams,PR 68862,60,60,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68862
ojeytonwilliams,PR 68856,16,16,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68856
ojeytonwilliams,PR 68842,420,420,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68842
ojeytonwilliams,PR 67444,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67444
ojeytonwilliams,PR 67016,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67016
ojeytonwilliams,PR 66542,0,0,1,0,1,2,https://github.com/freeCodeCamp/freeCodeCamp/pull/66542
ojeytonwilliams,PR 66494,98,98,0,3,0,3,https://github.com/freeCodeCamp/freeCodeCamp/pull/66494
