Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
raisedadead,PR 68073,300,300,0,0,1,1,https://github.com/freeCodeCamp/freeCodeCamp/pull/68073
raisedadead,PR 68047,65,65,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68047
raisedadead,PR 67969,360,360,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67969
raisedadead,PR 66543,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66543
raisedadead,PR 66542,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66542
raisedadead,PR 66476,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66476
raisedadead,PR 65976,480,480,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65976
raisedadead,PR 65655,0,0,0,1,0,1,https://github.com/freeCodeCamp/freeCodeCamp/pull/65655
