Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
Ksound22,PR 67280,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67280
Ksound22,PR 66859,91,91,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66859
