Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
moT01,PR 68582,480,480,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68582
moT01,PR 66177,168,168,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66177
moT01,PR 65942,367,367,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65942
moT01,PR 65669,240,240,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65669
