Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
naomi-freecodecamp,PR 69474,21,21,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/69474
naomi-freecodecamp,PR 65877,16,16,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65877
