Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
majestic-owl448,PR 68959,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68959
majestic-owl448,PR 67067,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67067
majestic-owl448,PR 66523,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66523
majestic-owl448,PR 66441,262,262,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66441
majestic-owl448,PR 66380,0,0,0,1,0,1,https://github.com/freeCodeCamp/freeCodeCamp/pull/66380
