Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
huyenltnguyen,PR 68882,8,8,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68882
huyenltnguyen,PR 66882,2,2,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66882
huyenltnguyen,PR 66823,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66823
huyenltnguyen,PR 66623,180,135,1,0,1,2,https://github.com/freeCodeCamp/freeCodeCamp/pull/66623
huyenltnguyen,PR 66617,0,0,0,0,1,1,https://github.com/freeCodeCamp/freeCodeCamp/pull/66617
huyenltnguyen,PR 66518,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66518
huyenltnguyen,PR 66381,80,80,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66381
