Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
raisedadead,PR 68425,420,420,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68425
raisedadead,PR 68177,1018,1018,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68177
raisedadead,PR 67142,60,60,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67142
raisedadead,PR 66223,480,480,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66223
