Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
majestic-owl448,PR 67961,1140,300,38,0,10,48,https://github.com/freeCodeCamp/freeCodeCamp/pull/67961
majestic-owl448,PR 67749,2439,300,10,0,2,12,https://github.com/freeCodeCamp/freeCodeCamp/pull/67749
majestic-owl448,PR 66191,583,300,4,0,1,5,https://github.com/freeCodeCamp/freeCodeCamp/pull/66191
majestic-owl448,PR 65864,1022,960,2,0,1,3,https://github.com/freeCodeCamp/freeCodeCamp/pull/65864
