Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
huyenltnguyen,PR 69256,180,180,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/69256
huyenltnguyen,PR 68079,15,15,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68079
huyenltnguyen,PR 66715,709,709,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66715
huyenltnguyen,PR 66357,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66357
huyenltnguyen,PR 66223,386,386,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66223
